Name,1st,2nd,3rd,4th,5th
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,106/122 Astronomy, 4/123 Chemistry Lab, ,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,Microbe Mission 64/128, 106/122 Astronomy,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,55/128 Forensics, ,,,
25, 74/130 Forestry, 103/125 Fossils,,,
26,,,,,
27,,,,,
28,,,,,
29,Experimental Design 81/119, 32/130 Fermi Questions, 103/106 Write It Do It,,
30,57/128 Forensics, Microbe Mission 88/129,,,
31,,,,,
32,,,,,
33,52/119 Experimental Design, Write It Do It 76/106,,,
34,,,,,
35,39/123 Chemistry Lab, 57/128 Forensics, Optics 109/117,,
36,,,,,
37,24/132 Anatomy & Physiology, 47/132 Codebusters,,,
38,,,,,
39,,,,,
40,47/132 Codebusters, 50/130 Fermi Questions,,,
41,,,,,
42,76/132 Codebusters, 32/130 Fermi Questions,,,
43,,,,,
44,,,,,
45,23/132 Codebusters, 11/101 Detector Building, 39/117 Optics, 35/113 Wind Power,
46,,,,,
47,39/123 Chemistry Lab, 107/129 Ecology, 52/119 Experimental Design,,
48,,,,,
49,,,,,
50,,,,,
51,52/119 Experimental Design, Write It Do It 76/106 Write It Do It,,,
52,,,,,
53,23/132 Codebusters, 81/126 Disease Detectives, 74/130 Fermi Questions,,
54,,,,,
55,103/129 Ecology,  69/125 Fossils, 114/130 Forestry,,
56,,,,,
57,24/132 Anatomy & Physiology,  Microbe Mission 88/129, ,,
58,,,,,
59,,,,,
60,,,,,
61,42/122 Astronomy, 73/129 Dynamic Planet,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,76/130 Forestry, 87/119 Experimental Design,,,
68,23/132 Codebusters, 77/106 Write It Do It,,,
69,,,,,
70,,,,,
71,,,,,
72,4/123 Chemistry Lab, 74/130 Fermi Questions, 55/128 Forensics,,
73,,,,,
74,,,,,
75,,,,,
76,114/130 Forestry, 69/125 Fossils, 79/125 Geologic Mapping,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,80/126 Disease Detectives, 107/129 Ecology, 103/125 Fossils,,
85,,,,,
86,,,,,
87,,,,,
88,38/132 Anatomy & Physiology, 81/126 Disease Detectives, 64/128 Microbe Mission ,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,122/122 Astronomy, 66/123 Chemistry Lab, 29/128 Forensics, ,
104,80/126 Disease Detectives, 74/130 Forestry, ,,
105,101/129 Dynamic Planet, 62/125 Geologic Mapping, ,,
106,42/122 Astronomy, 55/101 Detetctor Building, 50/130 Fermi Questions, 58/125 Geologic Mapping, 49/113 Wind Power 
107,,,,,
108,76/132 Codebusters, 29/128 Forensics, 79/125 Geologic Mapping,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,38/132 Anatomy & Physiology, 94/129 Ecology,,,
114,,,,,
115,Detector Building 64/101, Wind Power 30/113, Optics 69/117,,
116,,,,,
117,Dynamic Planet 73/129, Geologic Mapping 58/125, Optics 109/117, Wind Power 49/113,
118,,,,,
119,47/132 Codebusters, 55/101 Detetctor Building,,,
120,,,,,
121,,,,,
122,,,,,
123,Codebusters 76/132,  Experimental Design 81/119, Wind Power 30/113 ,,
124,,,,,
125,Experimental Design 81/119, Write It Do It 103/109,,,
126,,,,,
127,Disease Detectives 59/126, 92/192 Microbe Mission,,,
128,,,,,
129,,,,,
130,,,,,
131,66/123 Chemistry Lab, 33/129 Dynamic Planet, ,,
132,101/129 Dynamic Planet, 94/129 Ecology, 89/125 Fossils,,
133,,,,,
134,,,,,
135,,,,,
136,Detector Building 64/101,  69/117 Optics,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,87/119 Experimental Design, 89/125 Fossils, 62/125 Geologic Mapping, 77/106 Write It Do It,
143,Anatomy & Physiology 75/132, Astronomy 122/122,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,76/130 Forestry, 87/119 Experimental Design,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,Anatomy & Physiology 75/132, Disease Detectives 59/126, 92/192 Microbe Mission,,
158,,,,,
159,,,,,
160,,,,,
161,11/101 Detector Building, 39/117 Optics, 35/113 Wind Power,,
162,33/129 Dynamic Planet, 103/129 Ecology, ,,
163,,,,,
164,,,,,
